id;login;ip_address;is_after_lock;app;action;device;created_date;reason
1;jusque simple;de peur que inciter innombrable;false;WEB;PASSWORD_RESET;b0342022-ab48-45b3-bc84-dd924a40a4ec;2024-10-16T03:17:37;cadre
2;vouh;tchou tchouu affable;false;MERCHANT;PASSWORD_RESET;27640b4f-96ac-41f9-875e-c17ee0470190;2024-10-15T23:48:41;mairie
3;lunatique;ouf secouriste guère;true;MERCHANT;PASSWORD_RESET;0a8e383c-bfb6-46ca-a5b2-ad89512a5b8b;2024-10-16T05:53:06;pour que honorer
4;dring sous couleur de;toc-toc plouf bof;true;PORTAL;DEVICE_CHECK;56ced10e-8113-478a-9446-4b4d0dc2fe98;2024-10-15T17:55:57;poser au-dessous glouglou
5;minuscule;que ainsi;true;MERCHANT;PASSWORD_RESET;4d4c3641-0dc5-4010-9ac7-40905d0c6206;2024-10-16T06:32:15;brave
6;fourbe tellement;chef de cuisine brusque autour de;false;PORTAL;DEVICE_CHECK;768554f8-c7a8-41bd-bec1-08b29a803dc9;2024-10-16T03:20:54;dring
7;verser;coudre;true;MOBILE;PASSWORD_RESET;ef4b8ce3-e443-45ce-8cec-410dbdecb369;2024-10-16T12:13:10;terriblement à l'encontre de par
8;tsoin-tsoin direction;patientèle sans;false;AGENT;PASSWORD_RESET;0dbbb9c4-b7b1-4e2a-a5ff-05969eca0fd5;2024-10-15T14:05:13;avant-hier candide
9;joliment constituer étant donné que;trop;false;MERCHANT;LOGIN;38e302b0-16e4-42a4-84c1-fcce8cc58794;2024-10-16T13:20:01;gratis sans tellement
10;raide;d’autant que certainement;false;WEB;LOGIN;1ff23f08-b36c-49fb-a980-e933e1672311;2024-10-16T05:59:32;déployer bien que
